symbol,date,state,state_key,pulse,slope5,weekly,close,ret_5d,ret_10d,ret_20d,ret_60d
IREN,2025-08-26,二次启动,second_start,100.0,11.302,多头,22.99,0.2270552138026667,0.46280997837868054,1.0504567141783703,0.9934755235896053
IREN,2025-10-20,趋势退潮,trend_fade,70.305,-29.695,多头,59.22,0.09743324086675687,0.14403915237196618,-0.19942588871751454,-0.1237757798034651
IREN,2025-10-28,二次启动,second_start,69.927,30.67,多头,62.42,0.06744631861535644,-0.08074330741229552,-0.23950652654264237,-0.16116625847000932
IREN,2026-01-05,趋势启动,trend_start,12.092,57.027,多头,48.24,0.043325043115013395,0.12479262922069068,0.12748751030675964,-0.29332506288438076
IREN,2026-01-13,二次启动,second_start,55.099,59.011,多头,52.99,0.009246987134341689,0.18777121406066133,-0.19475378717934932,-0.2579732317539738
IREN,2026-01-26,趋势退潮,trend_fade,77.507,-14.799,多头,52.36,0.01375097808079051,-0.11860196738127882,-0.13197096575369416,-0.07582126001576583
IREN,2026-04-13,趋势启动,trend_start,32.784,120.151,过渡,43.07,0.13118183343191148,0.12282333301625381,0.28047369205127626,-0.0313442879890089
IREN,2026-04-14,二次启动,second_start,46.11,133.665,过渡,47.37,-0.04644291350107321,-0.0618535016095092,0.19400470020320082,-0.13151783159621122
IREN,2026-05-05,二次启动,second_start,88.019,36.763,多头,54.74,0.033248075246957054,-0.1278772339306231,0.19620024386465484,-0.3277311269879509
IREN,2026-05-26,二次启动,second_start,69.771,32.425,多头,59.78,0.11408497547822183,-0.09635326930665677,-0.15858146095378411,-0.28738709695533804
IREN,2026-06-12,趋势启动,trend_start,15.254,3.01,多头,59.77,-0.04851934923320245,-0.231888915914359,-0.3543583761579955,-0.2409235639215802
IREN,2026-08-13,趋势启动,trend_start,33.238,102.382,过渡,44.76,-0.04825737105474759,-0.09450401476448123,-0.020777402264358646,
IREN,2026-08-14,二次启动,second_start,32.536,70.453,过渡,44.06,-0.04947798995070596,-0.1954153504763826,-0.020199799741386748,
IREN,2026-09-03,趋势启动,trend_start,17.147,17.969,过渡,41.65,0.05234094178414983,0.12076827358989473,,
IREN,2026-09-04,二次启动,second_start,49.58,74.459,过渡,44.68,-0.03379592940726883,0.057072498201508504,,
NVDA,2021-10-14,趋势启动,trend_start,3.0,25.0,数据不足,21.6506,0.04350212740203241,0.1469237221294124,0.3974983545747579,0.26015602445880237
NVDA,2021-10-22,二次启动,second_start,47.247,54.247,数据不足,22.6263,0.1250112432084487,0.30916155211323004,0.45142112047349703,0.10314500463932497
NVDA,2021-11-19,二次启动,second_start,90.0,10.088,数据不足,32.8403,0.011854129082011555,-0.08926222737657863,-0.15954525660017616,-0.19617247222902723
NVDA,2021-12-27,趋势启动,trend_start,2.085,47.325,数据不足,30.8131,-0.02662779801722348,-0.1145581513794991,-0.2785911315449249,-0.17148594094109526
NVDA,2022-02-09,趋势启动,trend_start,2.325,36.95,过渡,26.5911,-0.007264398393965199,-0.1107282072351905,-0.1513998291134846,-0.3005734855053461
NVDA,2022-03-18,趋势启动,trend_start,37.607,130.273,过渡,26.3447,0.046837748097444676,0.00979097196148282,-0.1765394020104235,-0.40122669689305424
NVDA,2022-03-21,二次启动,second_start,47.69,142.354,过渡,26.6246,0.05554721362717041,0.02341589645514519,-0.16967152797319218,-0.3816677718129806
NVDA,2022-07-20,趋势启动,trend_start,34.651,103.469,过渡,17.7379,-0.0009545426098918064,0.06098706824339861,0.02965136022053083,-0.32815437245463364
NVDA,2022-07-21,二次启动,second_start,35.463,93.526,过渡,17.9799,-0.0036562307195516786,0.0645431971152417,0.040055595583923465,-0.37782056782007767
NVDA,2022-08-15,二次启动,second_start,78.646,15.797,过渡,18.9581,-0.10498129484127172,-0.1697670225797987,-0.30985193023716273,-0.23253801195713586
NVDA,2022-10-28,趋势启动,trend_start,37.93,72.557,过渡,13.7844,0.02327589695976151,0.18020819892673057,0.14406538275137648,0.43176699265564844
NVDA,2022-10-31,二次启动,second_start,35.329,68.243,过渡,13.4486,0.059568875342056016,0.20730547549717016,0.15870196139360604,0.5092400924955933
NVDA,2022-11-21,趋势退潮,trend_fade,73.423,-14.788,过渡,15.2621,0.02102231241124941,0.04400920427970889,0.050408771872271,0.3967143908257138
NVDA,2022-12-05,二次启动,second_start,86.072,11.863,过渡,16.5547,0.05568930128274929,-0.02143292080505521,-0.11204097515901146,0.43829029754919846
NVDA,2023-01-09,趋势启动,trend_start,4.335,46.815,过渡,15.5759,0.13271047447062578,0.2327230934516673,0.4187994897792682,0.720346113975298
NVDA,2023-01-12,二次启动,second_start,58.347,113.64,过渡,16.456,0.08043129585100228,0.23342015472536404,0.28792916839463345,0.645788192738854
NVDA,2023-02-17,趋势退潮,trend_fade,78.764,-21.236,多头,21.3167,0.09879334548246543,0.10127166821148004,0.21116494321323165,0.3660911621551226
NVDA,2023-02-28,二次启动,second_start,81.312,33.026,多头,23.1386,0.0032716169976696463,0.03665951987048399,0.13777085904160402,0.31560936123139216
NVDA,2023-03-16,二次启动,second_start,100.0,30.74,多头,25.4602,0.06460193797273628,0.07211927046402655,0.04764877811976409,0.5459881776845836
NVDA,2023-04-05,趋势退潮,trend_fade,80.869,-19.131,多头,26.796,-0.015550142681123869,0.00829572042044835,0.02533367594835445,0.5779686678088749
NVDA,2023-05-02,二次启动,second_start,92.875,53.62,多头,28.1208,0.012796859445352471,0.035554797701450314,0.34115568997970147,0.6573852826044064
NVDA,2023-05-15,趋势退潮,trend_fade,84.142,-10.792,多头,28.8614,0.07677976084108473,0.3853836344584243,0.41699449949298484,0.46417969274561166
NVDA,2023-05-18,二次启动,second_start,100.0,6.779,多头,31.5778,0.19893930029867368,0.24146091076853504,0.34782539890397746,0.38722594000530575
NVDA,2023-06-23,趋势退潮,trend_fade,83.632,-16.368,多头,42.0798,0.0022034309012826103,-0.0006872463450433575,0.056930939674529446,0.031144742456675978
NVDA,2023-07-13,二次启动,second_start,85.0,14.409,多头,45.8363,-0.009939814661080959,-0.0016749728709489764,-0.07806075991969519,-0.004594399152376805
NVDA,2023-07-24,趋势退潮,trend_fade,78.851,-21.149,多头,44.4755,0.04745353861481738,0.01804462704851706,0.05278865232070418,-0.015026696582369103
NVDA,2023-07-28,二次启动,second_start,82.381,14.087,多头,46.607,-0.04427801786141505,-0.12609630608231492,-0.015657651055232535,-0.08067282203662496
NVDA,2023-08-21,趋势启动,trend_start,49.453,85.349,多头,46.8233,-0.0028105547745743698,0.03366197005241367,-0.07331565704192733,0.05733994490178573
NVDA,2023-08-22,二次启动,second_start,66.653,87.784,多头,45.5283,0.06823165458716707,0.030587620786967085,-0.07500905533064672,0.07059714239487547
NVDA,2023-10-02,趋势启动,trend_start,16.368,52.367,多头,44.6487,0.010964189803881919,0.029319973999468285,-0.08085847549668601,0.10359851734086467
NVDA,2023-10-05,二次启动,second_start,32.587,78.31,多头,44.5549,0.0505058859277383,-0.0578899976686259,-0.02644992335917884,0.07796815478200969
NVDA,2023-11-03,趋势启动,trend_start,23.862,105.013,多头,44.871,0.07399167586314026,0.09538947012074894,0.011220930366011572,0.4005675246442961
NVDA,2023-11-06,二次启动,second_start,64.831,144.682,多头,45.6148,0.06270887801661806,0.10181208879312864,0.017903286410182906,0.4462158367911653
NVDA,2023-12-12,趋势启动,trend_start,11.89,33.147,多头,47.5193,0.04085441543961488,0.03693064344867425,0.15034505800845488,0.7999038443862116
NVDA,2023-12-15,二次启动,second_start,44.383,32.11,多头,48.7487,-0.00122723054217877,-0.014767770702032501,0.14651276529479973,0.798898364370797
NVDA,2023-12-26,趋势退潮,trend_fade,74.379,-12.486,多头,49.1366,-0.03470047807366894,0.10290399864605315,0.2503703168887792,0.9134605919169994
NVDA,2024-01-08,二次启动,second_start,88.814,13.682,多头,52.102,0.07901950927434043,0.1458292301882338,0.3056286535685244,0.6440975992336337
NVDA,2024-02-20,趋势退潮,trend_fade,71.666,-28.334,多头,69.2513,0.1331711781902729,0.23780487267464756,0.28725157829145265,0.36258761798075634
NVDA,2024-02-27,二次启动,second_start,95.0,23.334,多头,78.4736,0.09233705948246906,0.16793075347623865,0.176164623341603,0.20652137348933275
NVDA,2024-03-15,趋势退潮,trend_fade,71.637,-28.363,多头,87.5873,0.07345413919119093,0.028757766171746635,-0.020902441221166357,0.376639752590495
NVDA,2024-03-22,二次启动,second_start,85.0,13.363,多头,94.0209,-0.04163789712816379,-0.07589437391574105,-0.15665659837632284,0.43803798090300416
NVDA,2024-04-02,趋势退潮,trend_fade,78.792,-6.208,多头,89.1977,-0.045812297419067005,-0.02277186099254014,-0.03409650668038622,0.3862206261656622
NVDA,2024-04-11,趋势启动,trend_start,67.624,21.215,多头,90.3584,-0.06560655889964495,-0.08810794152041845,-0.02062549341619202,0.4499736141073758
NVDA,2024-04-26,趋势启动,trend_start,8.472,70.738,多头,87.4855,0.012013704832620986,0.02442586072055719,0.21352965020026327,0.3023241495699276
