symbol,state_key,state,horizon,n,mean,median,directional_hit_rate,baseline_mean,baseline_directional_hit_rate,mean_excess_vs_all_days,worst,best,mean_ci95_lo,mean_ci95_hi
TSLA,trend_start,趋势启动,5,27,0.009224383038962492,0.015963915705619947,0.5555555555555556,0.00444539784836357,0.4893203883495146,0.004778985190598922,-0.17369764099273188,0.15937393851902182,-0.017026634472021705,0.03496876051080346
TSLA,trend_start,趋势启动,10,27,0.036045256528449636,0.010518325431662978,0.5185185185185185,0.009374544819883434,0.5092682926829268,0.026670711708566202,-0.23002710719979258,0.3548521356997283,-0.01175792759951084,0.08828325229846377
TSLA,trend_start,趋势启动,20,27,0.06520986668157182,0.03428320273273888,0.5925925925925926,0.02061023608484144,0.49261083743842365,0.044599630596730375,-0.29072752497583665,0.5235373217326782,-0.01050427774502485,0.14952761996535674
TSLA,trend_start,趋势启动,60,26,0.09412972376759338,0.07569470689532509,0.5769230769230769,0.0608457894476826,0.5292307692307693,0.03328393431991078,-0.4107935247318024,0.6194707010344798,-0.01098351556967452,0.20089192915760423
TSLA,second_start,二次启动,5,42,-0.0031495452047007586,-0.0039009457302837114,0.42857142857142855,0.00444539784836357,0.4893203883495146,-0.007594943053064329,-0.20570259737008845,0.20383627740264432,-0.028161767136649016,0.02308576829285649
TSLA,second_start,二次启动,10,41,0.0074992063848685645,-0.011365485704404543,0.43902439024390244,0.009374544819883434,0.5092682926829268,-0.0018753384350148694,-0.1535858067965542,0.38900824312320736,-0.030658526910624723,0.04835018796349863
TSLA,second_start,二次启动,20,41,-0.0005940732660517916,-0.02323260091564383,0.4634146341463415,0.02061023608484144,0.49261083743842365,-0.021204309350893232,-0.2738066894705383,0.39592745473874524,-0.05049108804763639,0.052684052903117506
TSLA,second_start,二次启动,60,40,-0.021656446718930696,-0.047455825928618856,0.375,0.0608457894476826,0.5292307692307693,-0.08250223616661329,-0.40930293872775925,0.5103829372740714,-0.09521706215967639,0.056155885408927964
TSLA,trend_fade,趋势退潮,5,12,0.01786545169767827,-0.01594150864876065,0.5833333333333334,0.00444539784836357,0.5106796116504855,0.0134200538493147,-0.1290786889913097,0.29014381369102815,-0.039817264968833234,0.08897088907209755
TSLA,trend_fade,趋势退潮,10,12,0.0042857409570555005,-0.0339426196744132,0.6666666666666666,0.009374544819883434,0.49073170731707316,-0.0050888038628279335,-0.13181437784934125,0.2881356202273766,-0.06493721959566676,0.09105697752559005
TSLA,trend_fade,趋势退潮,20,12,0.01950719331417212,-0.026370389474566713,0.5833333333333334,0.02061023608484144,0.5073891625615764,-0.0011030427706693186,-0.2324547130925263,0.434211593162116,-0.06856462805175856,0.12918725813964999
TSLA,trend_fade,趋势退潮,60,12,-0.0047704614244559185,-0.06383896025623742,0.5833333333333334,0.0608457894476826,0.4707692307692308,-0.06561625087213852,-0.35348348652481687,0.6250301753008016,-0.159606571804055,0.18691550185406136
ALL,trend_start,趋势启动,5,97,0.01950417610809221,0.012013704832620986,0.5773195876288659,0.012602199161960963,0.5273083517021798,0.006901976946131247,-0.17369764099273188,0.41578952156605875,0.0020910805309000383,0.0367964686748334
ALL,trend_start,趋势启动,10,97,0.03400745018971469,0.029506243191206316,0.6082474226804123,0.025423942626092755,0.5385183362047749,0.008583507563621934,-0.231888915914359,0.3548521356997283,0.008868681495888087,0.05822808411493176
ALL,trend_start,趋势启动,20,96,0.0646341042830632,0.033845399029378775,0.6145833333333334,0.05431731016160496,0.5672383793189162,0.010316794121458236,-0.4691259227104724,1.3131579137244715,0.018925283698175983,0.11695177282224763
ALL,trend_start,趋势启动,60,90,0.11057072250229369,0.05454471939101857,0.5555555555555556,0.18164159856781192,0.6386228319958581,-0.07107087606551823,-0.8021697581659656,1.491039392218906,0.03325481969452137,0.1927996020037829
ALL,second_start,二次启动,5,162,0.015617719101541696,0.008809254225220609,0.5493827160493827,0.012602199161960963,0.5273083517021798,0.003015519939580732,-0.346923094529372,0.46499999364217115,-0.0007464890168154317,0.032015147426907725
